ID,IPA,POS,Alt form,Def,defFr,defDu,defEn,C1 IPA,C2 IPA,C1 Voicing,C2 Voicing,C1 place,C2 place,Homorganic,C1 Manner,C2 Manner,T-D,N-ND,D-ND,KP-K,T-N,T-ND,D-N
2934,mbɛ́sà,(s. vx.),,"ornements en fils de métal blanc, enroulés aux bras, ou aux jamt>es. Arm,-of beensierqden uii witmetalen draad.","ornements en fils de métal blanc, enroulés aux bras, ou aux jamt>es","Arm,-of beensierqden uii witmetalen draad",,mb,s,voiced,voiceless,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2936,mbɛ̀tì,(s. étr.),,"lettre (caractère), mot, lettre> .écriture. .Letter, woord, geschrift-","lettre (caractère), mot, lettre>",écriture,,mb,t,voiced,voiceless,lab,cor,non-homorganic,ND,T,No,No,No,No,No,No,No
2938,mbi̍li̍,(s.),,grosse aiguille indigène. Naald.,,,,mb,l,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2939,mbìlì,(s.),,"lame oü fer de lance non travaillé, valeur monétaire. Onbewerkt lemmer van mes of lans als geldwaarde.","lame oü fer de lance non travaillé, valeur monétaire",Onbewerkt lemmer van mes of lans als geldwaarde,,mb,l,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2941,mbìli̍,(s.),mbìlí zɔ̃́ ,", : pointe aigue de certaines graminées sortant du sol. Scherpe punt van nieuw uitschietend gras. .",", mbìlí zɔ̃́ : pointe aigue de certaines graminées sortant du sol",Scherpe punt van nieuw uitschietend gras,,mb,l,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2943,mbìŋgí,"(s., cfr.)",pàŋgá, : flèche à pointe métallique sans -barbillons. Pijl. met metalen punt zonder weerhaken.,pàŋgá : flèche à pointe métallique sans -barbillons,Pijl,,mb,ŋg,voiced,voiced,lab,dor,non-homorganic,ND,ND,No,No,No,No,No,No,No
2944,mbítò,(s.),,charbon de bois pôur noircir. Houtskool als zwartsel; -,charbon de bois pôur noircir,Houtskool als zwartsel; -,,mb,t,voiced,voiceless,lab,cor,non-homorganic,ND,T,No,No,No,No,No,No,No
2947,mbo̍ŋgò,(s.),,raphia des marais à longue tige. Rafiapalm met lange stam in moeras.,raphia des marais à longue tige,Rafiapalm met lange stam in moeras,,mb,ŋg,voiced,voiced,lab,dor,non-homorganic,ND,ND,No,No,No,No,No,No,No
2948,mbótó,(s.),, : grand poisson se nourrissant de végétaux et de fruits. Planten- en vruchtenetende vis (Districhodus Ant.),,,,mb,t,voiced,voiceless,lab,cor,non-homorganic,ND,T,No,No,No,No,No,No,No
2951,mbɔ́bì,(s.),," : rotin mince dônnant des liens forts. Dunne palm- liaan (Eremospatha sp.) veel als bind- en vlechtkojorden gebruikt,","veel als bind- en vlechtkojorden gebruikt,",,,mb,b,voiced,voiced,lab,lab,homorganic,ND,D,No,No,Yes,No,No,No,No
2953,mbɔkɔ,(v.),,"être doux, *— mou, — souple ; se fatiguer ; rendre doux, •— mou, —■ souple ; fatiguer. Zacht —, week —, mais —, zijn ; moe worden ; zacht maken; vermoeien.","être doux, *— mou, — souple ; se fatiguer ; rendre doux, •— mou, —■ souple ; fatiguer","Zacht —, week —, mais —, zijn ; moe worden ; zacht maken; vermoeien",,mb,k,voiced,voiceless,lab,dor,non-homorganic,ND,T,No,No,No,No,No,No,No
2954,mbɔ̀kɔ̀-,(s.),,"provision, qc. de disponible. Een vôofraàd, 'iets beschikbaar.",,,,mb,k,voiced,voiceless,lab,dor,non-homorganic,ND,T,No,No,No,No,No,No,No
2956,mbɔlɔ,(v.),,"ajourner, différer. Laten staan, uitstellen.","ajourner, différer","Laten staan, uitstellen",,mb,l,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2957,mbɔ̀lɔ̀,(s.),,rhume. Valling.,rhume,Valling,,mb,l,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2958,mbɔ̀ŋgì,"(s., cfr.)",félè, : crocodile. Krokodiel.,,,,mb,ŋg,voiced,voiced,lab,dor,non-homorganic,ND,ND,No,No,No,No,No,No,No
2960,mbùlà,(s.),,"instruction, admo'ïii- tiöii. Les, onderwijs-, lezing*","instruction, admo'ïii- tiöii","Les, onderwijs-, lezing*",,mb,l,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2961,mbu̍la̍,(s.),,"annonce —, publication orales Afkondiging, bekendmaking.","annonce —, publication orales Afkondiging, bekendmaking",,,mb,l,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2962,mbulu,(v.),,"pourrir. Verrotten, 0ederven.",pourrir,"Verrotten, 0ederven",,mb,l,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2963,mbúlù,(s.),,"Convention -de date, —de rendez-vous. Afspraak van gestelde dag.","Convention -de date, —de rendez-vous",Afspraak van gestelde dag,,mb,l,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2964,mbùnzu̍,(s. étr.),,"blanc, Européen. Witte, blanke.","blanc, Européen","Witte, blanke",,mb,nz,voiced,voiced,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2965,mbǔsɛ̀,(s.),,"albinos. Albino, witte neger.",albinos,"Albino, witte neger",,mb,s,voiced,voiceless,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2966,mbúsù,(s. étr.),,"chat domestique. Kat, huiskat.",chat domestique,"Kat, huiskat",,mb,s,voiced,voiceless,lab,other,non-homorganic,ND,other,No,No,No,No,No,No,No
2969,mɛnɛ,(v.),,"écarter en poussant un objet souple, — élastique* Iets taais of rekbaars wegduwen, — uitduwen.","écarter en poussant un objet souple, — élastique* Iets taais of rekbaars wegduwen, — uitduwen",,,m,n,voiced,voiced,lab,cor,non-homorganic,N,N,No,No,No,No,No,No,No
2972,miki,(v.),,"branler, secouer ; vaciller, chanceler. Heen en weer schudden, doen wiggelen ; waggelen, niet vast staan.","branler, secouer ; vaciller, chanceler","Heen en weer schudden, doen wiggelen ; waggelen, niet vast staan",,m,k,voiced,voiceless,lab,dor,non-homorganic,N,T,No,No,No,No,Yes,No,No
2973,mĩlĩ,(v.),,"balayer. Vegen, uitvegen.",balayer,"Vegen, uitvegen",,m,l,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
2974,mĩ́lĩ́-,(s.),tĩ́ mĩ́lĩ́ nyáŋá- ,", : talon. Hiel",", tĩ́ mĩ́lĩ́ nyáŋá- : talon",Hiel,,m,l,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
2975,mĩ́lĩ̀-,(s.),mĩ́lĩ́ zù- ,", : cheveux. Hoofdhaar.",", mĩ́lĩ́ zù- : cheveux",Hoofdhaar,,m,l,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
2976,mĩ́lĩ̀-,(s.),mĩ́lĩ́ kɔ̀a ,", : larmes. Tranen.",,,,m,l,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
2979,misi,(v.),,"soulever d’un coté ; être soulevé —, replié d’un côté. Een kant oplichten ; langs een kant opgelicht zijn-, omhooggeplooid staan.","soulever d’un coté ; être soulevé —, replié d’un côté","Een kant oplichten ; langs een kant opgelicht zijn-, omhooggeplooid staan",,m,s,voiced,voiceless,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
2986,mɔkɔ,(v.),,"être mou par cuisson. Zacht —, mals gekookt —, gebraden zijn.",être mou par cuisson,"Zacht —, mals gekookt —, gebraden zijn",,m,k,voiced,voiceless,lab,dor,non-homorganic,N,T,No,No,No,No,Yes,No,No
2990,mɔ̍lì,(s.),sa̍’de̍ lì ,", = : monstre d’eau. Watermonster.",", = sa̍’de̍ lì : monstre d’eau",Watermonster,,m,l,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
2992,mɔlɔ,(v.),,"grogner. Preutelen-, morren.",grogner,"Preutelen-, morren",,m,l,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
2993,mɔmɔ,(v.),,"rire; se moquer de. Lachen, uitlachen.",rire; se moquer de,"Lachen, uitlachen",,m,m,voiced,voiced,lab,lab,homorganic,N,N,No,No,No,No,No,No,No
2994,mɔ̀mù,(s.),màmù ; tè dò mòmù," : éclater de rire. In lach uitbarsten, schaterlachen.",= màmù ; tè dò mòmù : éclater de rire,"In lach uitbarsten, schaterlachen",,m,m,voiced,voiced,lab,lab,homorganic,N,N,No,No,No,No,No,No,No
3005,mɔ̃yɔ̃,(v.),,"amincir, rétrécir ; s’amincir, se rétrécir, s’effiler. Verkleinen, dun maken, nauw maken; dun zijn, smaller worden, puntig uitlopen.","amincir, rétrécir ; s’amincir, se rétrécir, s’effiler","Verkleinen, dun maken, nauw maken; dun zijn, smaller worden, puntig uitlopen",,m,y,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
3006,mũlũ,(v.),,"être fouillé —, re-  mué,.—'ameubli (p. ex. la terre) ; fouiller, ameublir. Los- •t gewerkt —s omgewroet zijn (van gron,d) ; loswerken, omwroeten. .","être fouillé —, re-  mué,",—'ameubli (p,,m,l,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
3009,mũ̍lũ̍-,(s.),,chair d’animàl ou de fruits. 'Vlees van dieren of vruchten.,chair d’animàl ou de fruits,'Vlees van dieren of vruchten,,m,l,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
3010,mũ̀lũ̍,(s.),gbã́lã́ mũ̀lũ̍ ,", : grêle. Hagel, hagelstenen.",", gbã́lã́ mũ̀lũ̍ : grêle","Hagel, hagelstenen",,m,l,voiced,voiced,lab,other,non-homorganic,N,other,No,No,No,No,No,No,No
3019,nala,(v.),,"(faire) coller ; (se) coller, adhérer, s’attacher. Aanplakken, opplakken ; kleven, aankleven.","(faire) coller ; (se) coller, adhérer, s’attacher","Aanplakken, opplakken ; kleven, aankleven",,n,l,voiced,voiced,cor,other,non-homorganic,N,other,No,No,No,No,No,No,No
3024,ndábà,(s.),,petite table pour offrandes aux défunts. Offertafeltje.,petite table pour offrandes aux défunts,Offertafeltje,,nd,b,voiced,voiced,cor,lab,non-homorganic,ND,D,No,No,Yes,No,No,No,No
3025,ndà’bà,(s.),,limaçon. Huisjesslak.,limaçon,Huisjesslak,,nd,b',voiced,voiced,cor,lab,non-homorganic,ND,other,No,No,No,No,No,No,No
3026,ndaka,(v.),,chasser ; mener. Wegjagen; voortdrijven.,chasser ; mener,Wegjagen; voortdrijven,,nd,k,voiced,voiceless,cor,dor,non-homorganic,ND,T,No,No,No,No,No,No,No
3027,ndàka̍,(s.),,"grand arbre à résine jaune ; résine de cet arbre utilisée pour réparation d’objets crevassés. Grote harsboom (Sym- phonia globulifera) ; gele hars van deze boom, gebruikt voor het lijmen van barsten.",grand arbre à résine jaune ; résine de cet arbre utilisée pour réparation d’objets crevassés,"Grote harsboom (Sym- phonia globulifera) ; gele hars van deze boom, gebruikt voor het lijmen van barsten",,nd,k,voiced,voiceless,cor,dor,non-homorganic,ND,T,No,No,No,No,No,No,No
3029,ndala,(v.),ndàlà mɔ̀ ,", : conjurer par sortilèges. Bezweren door tovermiddels.",", ndàlà mɔ̀ : conjurer par sortilèges",Bezweren door tovermiddels,,nd,l,voiced,voiced,cor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3030,ndàlà,(s.),,"peau, pelage, fourrure ; cuir, ceinture, lanière. Huid, pels; leder, riem.","peau, pelage, fourrure ; cuir, ceinture, lanière","Huid, pels; leder, riem",,nd,l,voiced,voiced,cor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3031,ndànà,(s.),,mal aux reins. Lendenpijn.,mal aux reins,Lendenpijn,,nd,n,voiced,voiced,cor,cor,homorganic,ND,N,No,Yes,No,No,No,No,No
3032,ndàŋgà,(s.),,pilon orné d’incisions. Met versierselen ingesneden stamstok.,pilon orné d’incisions,Met versierselen ingesneden stamstok,,nd,ŋg,voiced,voiced,cor,dor,non-homorganic,ND,ND,No,No,No,No,No,No,No
3033,ndàsà,(s.),,"chapeau, couvre-chef. Hoofddeksl, hoed.","chapeau, couvre-chef","Hoofddeksl, hoed",,nd,s,voiced,voiceless,cor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3036,ndèlè,(s.),,carquois à flèches. Pijlenkoker.,carquois à flèches,Pijlenkoker,,nd,l,voiced,voiced,cor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3037,nde̍le̍,(s.),,"petits gros-becs en bandes sur les hautes herbes. Kleine dikbekvogeitjes, overal in zwermen op graszaad.",petits gros-becs en bandes sur les hautes herbes,"Kleine dikbekvogeitjes, overal in zwermen op graszaad",,nd,l,voiced,voiced,cor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3040,ndɛ̃̀lɛ̃̀,(s.),,petit arbre employé pour la construction des toitures. Klein boompje veel als dakstok gebruikt (Trema gui- neense).,petit arbre employé pour la construction des toitures,Klein boompje veel als dakstok gebruikt (Trema gui- neense),,nd,l,voiced,voiced,cor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3041,ndɛ̀ndɛ̀,(s.),,fougères. Varenplanten.,fougères,Varenplanten,,nd,nd,voiced,voiced,cor,cor,homorganic,ND,ND,No,No,No,No,No,No,No
3042,ndɛ̀ŋgà,(s.),,pygmée. Dwergneger.,pygmée,Dwergneger,,nd,ŋg,voiced,voiced,cor,dor,non-homorganic,ND,ND,No,No,No,No,No,No,No
3044,ndɛ̀ŋgɔ̀,(s.),,jambes arquées. Kromme benen.,jambes arquées,Kromme benen,,nd,ŋg,voiced,voiced,cor,dor,non-homorganic,ND,ND,No,No,No,No,No,No,No
3047,ndìmbo̍,(s.),,"caoutchouc ; arbre à caoutchouc. Caoutchouc ; caout- choucboom, inlandse (Funtumia elastica), en ingebrachte (Hevea).",caoutchouc ; arbre à caoutchouc,"Caoutchouc ; caout- choucboom, inlandse (Funtumia elastica), en ingebrachte (Hevea)",,nd,mb,voiced,voiced,cor,lab,non-homorganic,ND,ND,No,No,No,No,No,No,No
3051,ndò’bo̍,(s.),,"du maïs hâtif, mûr avant la saison. Vroegrijpe maïs.","du maïs hâtif, mûr avant la saison",Vroegrijpe maïs,,nd,b',voiced,voiced,cor,lab,non-homorganic,ND,other,No,No,No,No,No,No,No
3052,ndòko̍,(s.),," : enclos en paille. Strooien afzetting (rond offertafel, badhokje, enz.)",,,,nd,k,voiced,voiceless,cor,dor,non-homorganic,ND,T,No,No,No,No,No,No,No
3054,ndòlò,(s.),,"maladie des yeux, tache blanche sur l’oeil. Witte plek op oogappel.","maladie des yeux, tache blanche sur l’oeil",Witte plek op oogappel,,nd,l,voiced,voiced,cor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3056,ndòndo̍,(s.),, : petite râle de forêt marécageuse. Kleine bosral langs water (Sarothrura sp.),,,,nd,nd,voiced,voiced,cor,cor,homorganic,ND,ND,No,No,No,No,No,No,No
3060,ndɔ̀kɔ́,(s.),,"moelle (d’os, d’arbre), amande^ de noix dure. Merg, zachte kern.","moelle (d’os, d’arbre), amande^ de noix dure","Merg, zachte kern",,nd,k,voiced,voiceless,cor,dor,non-homorganic,ND,T,No,No,No,No,No,No,No
3061,ndɔkpɔ,(v.),,"toucher d’un bout, tremper d’un bout. Met puntje aanraken, met top indo- pen.","toucher d’un bout, tremper d’un bout","Met puntje aanraken, met top indo- pen",,nd,kp,voiced,voiceless,cor,labdor,non-homorganic,ND,T,No,No,No,No,No,No,No
3062,ndɔlɔ,(v.),,"frapper —, atteindre en tirant (à l’arc ou au fusil). Treffen, raakschie- ten, neerschieten.","frapper —, atteindre en tirant (à l’arc ou au fusil)","Treffen, raakschie- ten, neerschieten",,nd,l,voiced,voiced,cor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3065,ndɔ̀ŋbɔ̀,(s.),,"longue pièce d’étoffe, retenue devant et derrière par la ceinture et pendant entre les jambes. Dijkleedsel der ouden, afhangend tussen de benen.","longue pièce d’étoffe, retenue devant et derrière par la ceinture et pendant entre les jambes","Dijkleedsel der ouden, afhangend tussen de benen",,nd,ŋb,voiced,voiced,cor,labdor,non-homorganic,ND,ND,No,No,No,No,No,No,No
3066,ndɔ̀ti̍,(s.),,"fin, terme. Einde (plaats en tijd).","fin, terme",Einde (plaats en tijd),,nd,t,voiced,voiceless,cor,cor,homorganic,ND,T,No,No,No,No,No,No,No
3068,ndúba̍,(s.),,patate douce. Zoete patat (Convulvulus batatus).,patate douce,Zoete patat (Convulvulus batatus),,nd,b,voiced,voiced,cor,lab,non-homorganic,ND,D,No,No,Yes,No,No,No,No
3069,ndúbù,(s.),ndúvù,",  : crinière. Manen, lang halshaar.",", ndúvù : crinière","Manen, lang halshaar",,nd,b,voiced,voiced,cor,lab,non-homorganic,ND,D,No,No,Yes,No,No,No,No
3070,ndùbú,(s.),,"lianes enchevêtrées et touffues. Lianeniros, ineengestrengelde takken en slingerplanten.",lianes enchevêtrées et touffues,"Lianeniros, ineengestrengelde takken en slingerplanten",,nd,b,voiced,voiced,cor,lab,non-homorganic,ND,D,No,No,Yes,No,No,No,No
3072,ndùku̍,(s.),,"serval. Servalkat, geelbruin met zwarte vlekken (Felis serval).",serval,"Servalkat, geelbruin met zwarte vlekken (Felis serval)",,nd,k,voiced,voiceless,cor,dor,non-homorganic,ND,T,No,No,No,No,No,No,No
3073,ndù’dì,(s.),, : grosbec à poitrine rouge et ventre noir pointillé de blanc. Dikbek met rode borst en zwarte witgesprikkelde buik (Spermophaga sp.),,,,nd,d',voiced,voiced,cor,cor,homorganic,ND,other,No,No,No,No,No,No,No
3075,ndùmbe̍,(s.),,arc en ciel. Regenboog (wordt als levend wezen aanzien ).,arc en ciel,Regenboog (wordt als levend wezen aanzien ),,nd,mb,voiced,voiced,cor,lab,non-homorganic,ND,ND,No,No,No,No,No,No,No
3076,ndùŋgà,(s.),,grosse aiguille en cuivre ; aiguille des sorciers. Koperen naald; tovernaald.,grosse aiguille en cuivre ; aiguille des sorciers,Koperen naald; tovernaald,,nd,ŋg,voiced,voiced,cor,dor,non-homorganic,ND,ND,No,No,No,No,No,No,No
3077,ndúvù,"(s., cfr.)",ndúbù," : crinière. Manen, lang halshaar.",ndúbù : crinière,"Manen, lang halshaar",,nd,v,voiced,voiced,cor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3089,nisi,(v. r.),,"laisser traîner, différer ; rester à ne rien faire, passer son temps. Ongedaan laten liggen, uitstellen; blijven zitten niets doen.","laisser traîner, différer ; rester à ne rien faire, passer son temps","Ongedaan laten liggen, uitstellen; blijven zitten niets doen",,n,s,voiced,voiceless,cor,other,non-homorganic,N,other,No,No,No,No,No,No,No
3095,nɔ̃lɔ̃,(v.),,"bouillonner, bouillir, écumer. Opborrelen, schuimen, blaasjes maken.","bouillonner, bouillir, écumer","Opborrelen, schuimen, blaasjes maken",,n,l,voiced,voiced,cor,other,non-homorganic,N,other,No,No,No,No,No,No,No
3096,nɔmɔ,(v.),,"absorber (liquide), déssécher, pénétrer (liquide). Vocht optrekken, —-intrekken, indrogen.","absorber (liquide), déssécher, pénétrer (liquide)","Vocht optrekken, —-intrekken, indrogen",,n,m,voiced,voiced,cor,lab,non-homorganic,N,N,No,No,No,No,No,No,No
3097,nɔnɔ,(v.),,gratter. Krabben.,gratter,Krabben,,n,n,voiced,voiced,cor,cor,homorganic,N,N,No,No,No,No,No,No,No
3100,nuku,(v.),,"causer des renvois. Opwerpen van eten, doen oprispen.",causer des renvois,"Opwerpen van eten, doen oprispen",,n,k,voiced,voiceless,cor,dor,non-homorganic,N,T,No,No,No,No,Yes,No,No
3101,nũlũ,(v.),,"froisser, tordre. Verfrommelen, ineenwringen.","froisser, tordre","Verfrommelen, ineenwringen",,n,l,voiced,voiced,cor,other,non-homorganic,N,other,No,No,No,No,No,No,No
3102,nusu,(v. r.),,"bien manger aux frais des autres. Meesmuilen, tafel- schuimen.",bien manger aux frais des autres,"Meesmuilen, tafel- schuimen",,n,s,voiced,voiceless,cor,other,non-homorganic,N,other,No,No,No,No,No,No,No
3107,nyàmà,(s. étr.),,plantes aromatiques. Reukplanten.,plantes aromatiques,Reukplanten,,ny,m,voiced,voiced,other,lab,non-homorganic,other,N,No,No,No,No,No,No,No
3108,nyaŋa,(v.),,"être insuffisant. Te weinig zijn, te kort schieten.",être insuffisant,"Te weinig zijn, te kort schieten",,ny,ŋ,voiced,voiced,other,dor,non-homorganic,other,N,No,No,No,No,No,No,No
3109,nyáŋá-,(s.),,"pied, jambe, patte. Voet, been, poot.","pied, jambe, patte","Voet, been, poot",,ny,ŋ,voiced,voiced,other,dor,non-homorganic,other,N,No,No,No,No,No,No,No
3113,nyɛlɛ,(v.),,"être éloigné, distant. Ver zijn, verwijderd zijn.","être éloigné, distant","Ver zijn, verwijderd zijn",,ny,l,voiced,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
3114,nyɛ̃̀nyɛ̃́,(s.),,sabre à pointe en forme de tête d’oiseau. Houwmes met vogelkoppunt.,sabre à pointe en forme de tête d’oiseau,Houwmes met vogelkoppunt,,ny,ny,voiced,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
3115,nyɛtɛ,(v.),,"se fondre (graisse, résilie). Vloeibaar worden (van vet en hars).","se fondre (graisse, résilie)",Vloeibaar worden (van vet en hars),,ny,t,voiced,voiceless,other,cor,non-homorganic,other,T,No,No,No,No,No,No,No
3116,nyɔ̀ka̍,(s.),,daman arbricole. Boom- dassie (Dendrohyrax dorsalis).,daman arbricole,Boom- dassie (Dendrohyrax dorsalis),,ny,k,voiced,voiceless,other,dor,non-homorganic,other,T,No,No,No,No,No,No,No
3117,nyɔ̀lì,(s.),, : espèce d’anguille. Soort palingachtige vis (Mastasembe- lus sp.),,,,ny,l,voiced,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
3118,nyɔŋɔ,(v.),,manger; mordre. Eten; bijten.,manger; mordre,Eten; bijten,,ny,ŋ,voiced,voiced,other,dor,non-homorganic,other,N,No,No,No,No,No,No,No
3124,nza’ba,(v.),,"sucer. Uitztiigen, afzuigen.",sucer,"Uitztiigen, afzuigen",,nz,b',voiced,voiced,other,lab,non-homorganic,other,other,No,No,No,No,No,No,No
3126,nzàbí,(s.),,poisson-capitaine très recherché. Kapiteinvis (Lates niloticus).,poisson-capitaine très recherché,Kapiteinvis (Lates niloticus),,nz,b,voiced,voiced,other,lab,non-homorganic,other,D,No,No,No,No,No,No,No
3127,nzàkã̀,(s.),,liens renforçant un arc fendu. Verband van gebarsten boog.,liens renforçant un arc fendu,Verband van gebarsten boog,,nz,k,voiced,voiceless,other,dor,non-homorganic,other,T,No,No,No,No,No,No,No
3129,nzàlà,(s. vx.),bo̍lo̍,", =  : tuyau en terre cuite. Stenen buis, verlenging van blaasbalg.",", = bo̍lo̍ : tuyau en terre cuite","Stenen buis, verlenging van blaasbalg",,nz,l,voiced,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
3130,nzàmbo̍,(s.),," : bouts (de corde, de moustache, etc.). Puntjes, eindjes.",,"Puntjes, eindjes",,nz,mb,voiced,voiced,other,lab,non-homorganic,other,ND,No,No,No,No,No,No,No
3132,nza̍ŋa̍,(s.),,xylophon. Xylofoon.,xylophon,Xylofoon,,nz,ŋ,voiced,voiced,other,dor,non-homorganic,other,N,No,No,No,No,No,No,No
3133,nzàŋbà,(s.),,bâton à pied fendu en quatre pour creuser ; deux bâtons reliés faisant fourche pour soulever ou supporter. In vier gespleten graaf stok; mik uit twee stokken om iets op te heffen of te schragen.,bâton à pied fendu en quatre pour creuser ; deux bâtons reliés faisant fourche pour soulever ou supporter,In vier gespleten graaf stok; mik uit twee stokken om iets op te heffen of te schragen,,nz,ŋb,voiced,voiced,other,labdor,non-homorganic,other,ND,No,No,No,No,No,No,No
3134,nzáŋbe̍,(s.),,anneau en métal avec grelot porté à la cheville. Metalen beenring met ratelbelletje.,anneau en métal avec grelot porté à la cheville,Metalen beenring met ratelbelletje,,nz,ŋb,voiced,voiced,other,labdor,non-homorganic,other,ND,No,No,No,No,No,No,No
3136,nzàŋgó,(s.),,raphia cultivé pour le vin. Rafiapalm gekweekt voor de wijn.,raphia cultivé pour le vin,Rafiapalm gekweekt voor de wijn,,nz,ŋg,voiced,voiced,other,dor,non-homorganic,other,ND,No,No,No,No,No,No,No
3138,nzɛ̀’bɛ̍,(s.),,"chassie, suppuration des yeux. Draagsel in ogen.","chassie, suppuration des yeux",Draagsel in ogen,,nz,b',voiced,voiced,other,lab,non-homorganic,other,other,No,No,No,No,No,No,No
3139,nzɛ’dɛ,(v.),,cracher entre les dents. Tussen de tanden spuwen.,cracher entre les dents,Tussen de tanden spuwen,,nz,d',voiced,voiced,other,cor,non-homorganic,other,other,No,No,No,No,No,No,No
3140,nzɛ̀lɛ̀,(s.),,barbe. Baard.,barbe,Baard,,nz,l,voiced,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
3142,nzìŋá,(s.),,ricin. Ricijnplant.,ricin,Ricijnplant,,nz,ŋ,voiced,voiced,other,dor,non-homorganic,other,N,No,No,No,No,No,No,No
3147,nzɔ’bɔ,(v.),nza’ba,", =  : sucer. Uitzuigen, afzuigen.",", = nza’ba : sucer","Uitzuigen, afzuigen",,nz,b',voiced,voiced,other,lab,non-homorganic,other,other,No,No,No,No,No,No,No
3148,nzɔ̀là,(s.),,musaraigne. Spitsmuis.,musaraigne,Spitsmuis,,nz,l,voiced,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
3150,nzɔ̀li̍-,(s.),,jeune feuille ou bourgeon s’ouvrant. Openkomend blad of knoop.,jeune feuille ou bourgeon s’ouvrant,Openkomend blad of knoop,,nz,l,voiced,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
3151,nzɔ̀lɔ́-,(s.),nzɔ̀lɔ́ gɛ́lɛ́ wi̍ ," larynx, gorge (à l’extérieur). Strottenhoofd, keel.","nzɔ̀lɔ́ gɛ́lɛ́ wi̍ : larynx, gorge (à l’extérieur)","Strottenhoofd, keel",,nz,l,voiced,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
3152,nzúlà,(s.),,"petite antilope toute rouge-brune à huppe haute. L an gkui fdui kerantilo opj e, geheel bruinrood (Cephalophus sp.) .",,,,nz,l,voiced,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
3154,ŋbà’dí-,(s.),,"deux côtés, un côté des deux. Weers-kanten, een kant der twee.","deux côtés, un côté des deux","Weers-kanten, een kant der twee",,ŋb,d',voiced,voiced,labdor,cor,non-homorganic,ND,other,No,No,No,No,No,No,No
3155,ŋbàkà,(s.),,"Ngbaka, peuple ■—, langue Ngbaka. Ngbaka (man), N gbakavolk, — taal.","Ngbaka, peuple ■—, langue Ngbaka","Ngbaka (man), N gbakavolk, — taal",,ŋb,k,voiced,voiceless,labdor,dor,non-homorganic,ND,T,No,No,No,Yes,No,No,No
3156,ŋbala,(v.),,"étendre, étirer. Uiteentrekken.","étendre, étirer",Uiteentrekken,,ŋb,l,voiced,voiced,labdor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
3158,ŋba̍la̍,(s.),sɛ́lɛ́ ŋba̍ba̍ ,", = : lance à long cou entre pointe et douille. Lans met lang halsijzer.",", = sɛ́lɛ́ ŋba̍ba̍ : lance à long cou entre pointe et douille",Lans met lang halsijzer,,ŋb,l,voiced,voiced,labdor,other,non-homorganic,ND,other,No,No,No,No,No,No,No
